City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Geraldton,AU,-28.7667,114.6,82.81,39,0,12.66,clear sky
107,Port Hardy,CA,50.6996,-127.4199,50.0,100,20,2.3,few clouds
108,San Pedro,PH,14.35,121.0167,79.11,87,75,4.61,light rain
109,Katsuura,JP,35.1333,140.3,64.44,51,21,5.97,few clouds
110,Touros,BR,-5.1989,-35.4608,81.5,80,63,11.79,broken clouds
111,Krasnyy Kut,RU,50.95,46.9667,46.9,82,100,7.99,overcast clouds
112,Ulladulla,AU,-35.35,150.4667,74.77,50,45,10.25,scattered clouds
113,Abu Samrah,SY,35.3029,37.1841,61.18,71,0,5.17,clear sky
114,Lebu,CL,-37.6167,-73.65,48.54,93,14,5.01,few clouds
115,Torbay,CA,47.6666,-52.7314,58.75,97,90,11.5,very heavy rain
116,Saint-Augustin,CA,51.226,-58.6502,40.8,93,100,10.94,overcast clouds
117,Forestville,US,38.8451,-76.875,55.98,82,1,8.05,clear sky
118,Acara,BR,-1.9608,-48.1967,73.9,98,95,2.35,overcast clouds
119,Nizwa,OM,22.9333,57.5333,77.45,53,0,2.06,clear sky
120,Edd,ER,13.9297,41.6925,84.87,58,2,9.37,clear sky
121,Adjumani,UG,3.3779,31.7909,65.48,91,5,0.92,clear sky
122,Kabakovo,RU,54.5369,56.1517,44.89,93,90,6.71,light intensity shower rain
123,Puerto Escondido,MX,15.85,-97.0667,78.04,83,80,3.02,broken clouds
124,Grado,ES,43.388,-6.0743,53.67,94,0,5.75,clear sky
125,Kattivakkam,IN,13.2167,80.3167,87.89,64,100,1.1,overcast clouds
126,Breves,BR,-1.6822,-50.4803,75.04,87,98,3.58,overcast clouds
127,Falmouth,GB,50.1544,-5.0711,54.86,90,96,19.06,overcast clouds
128,Zonguldak,TR,41.25,31.8333,47.79,76,21,4.43,few clouds
129,Guider,CM,9.9342,13.9486,76.66,71,19,3.78,few clouds
130,La Libertad,EC,-2.2333,-80.9,70.43,85,100,8.19,overcast clouds
131,Cidreira,BR,-30.1811,-50.2056,64.0,95,99,13.44,overcast clouds
132,Sobolevo,RU,54.4299,31.8996,36.5,92,100,11.63,overcast clouds
133,Baoqing,CN,46.3317,132.2111,58.3,28,0,10.0,clear sky
134,Tromso,NO,69.6496,18.957,32.38,80,40,5.75,scattered clouds
135,Kostrzyn,PL,52.3985,17.2281,35.67,92,33,5.03,scattered clouds
136,Bethel,US,41.3712,-73.414,53.01,85,90,4.61,overcast clouds
137,Verkhnevilyuysk,RU,63.4453,120.3167,33.15,76,99,9.46,overcast clouds
138,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,78.37,68,12,4.99,few clouds
139,Manono,CD,-7.3,27.4167,70.36,86,83,2.68,broken clouds
140,Bodden Town,KY,19.2833,-81.25,82.4,87,40,10.36,scattered clouds
141,Mount Gambier,AU,-37.8333,140.7667,58.91,58,75,17.27,broken clouds
142,Georgetown,MY,5.4112,100.3354,87.89,74,40,0.0,scattered clouds
143,Jijiga,ET,9.35,42.8,61.57,41,3,8.48,clear sky
144,Esperance,AU,-33.8667,121.9,78.64,39,16,10.2,few clouds
145,Aktau,KZ,43.65,51.2,41.58,41,90,10.56,overcast clouds
146,Iqaluit,CA,63.7506,-68.5145,29.93,86,90,15.01,light intensity drizzle
147,Hofn,IS,64.2539,-15.2082,44.91,73,100,3.09,overcast clouds
148,Dingle,PH,10.9995,122.6711,85.96,71,75,4.23,broken clouds
149,Dikson,RU,73.5069,80.5464,8.69,86,100,16.26,overcast clouds
150,Eureka,US,40.8021,-124.1637,59.36,79,100,1.99,overcast clouds
151,Dustlik,UZ,40.5247,68.0358,50.94,30,0,2.44,clear sky
152,Bredasdorp,ZA,-34.5322,20.0403,48.27,87,76,3.44,broken clouds
153,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,40,10.36,scattered clouds
154,Tuatapere,NZ,-46.1333,167.6833,54.45,95,100,1.99,overcast clouds
155,Mahebourg,MU,-20.4081,57.7,78.26,78,40,10.36,scattered clouds
156,Luderitz,NA,-26.6481,15.1594,56.23,68,0,13.27,clear sky
157,Along,IN,28.1667,94.7667,79.74,48,29,1.03,scattered clouds
158,Skjervoy,NO,70.0311,20.9714,40.28,48,94,14.72,overcast clouds
159,Labuhan,ID,-6.8844,112.2051,89.55,58,59,5.35,broken clouds
160,Marsh Harbour,BS,26.5412,-77.0636,80.4,73,59,11.83,broken clouds
161,Doraha,IN,30.8167,76.0167,68.97,64,100,7.2,overcast clouds
162,Tasiilaq,GL,65.6145,-37.6368,28.99,97,100,5.32,snow
163,Dawlatabad,AF,36.4141,64.9053,52.63,34,0,3.36,clear sky
164,Byron Bay,AU,-28.65,153.6167,89.87,64,60,12.39,broken clouds
165,Lima,PE,-12.0432,-77.0282,60.91,80,20,14.97,few clouds
166,Lavrentiya,RU,65.5833,-171.0,23.7,82,100,9.98,overcast clouds
167,Alampur,IN,15.8833,78.15,75.0,83,100,1.21,overcast clouds
168,Broken Hill,AU,-31.95,141.4333,67.71,28,0,10.36,clear sky
169,Havelock,US,34.8791,-76.9013,62.94,92,0,3.38,clear sky
170,Kodiak,US,57.79,-152.4072,42.1,92,98,27.13,moderate rain
171,Dzaoudzi,YT,-12.7887,45.2699,80.49,83,75,6.91,broken clouds
172,Rawson,AR,-43.3002,-65.1023,54.81,34,1,19.84,clear sky
173,Kirksville,US,40.1948,-92.5833,53.11,69,75,5.01,broken clouds
174,Kuminskiy,RU,58.6667,66.5667,39.83,88,7,9.8,clear sky
175,Havoysund,NO,70.9963,24.6622,32.88,61,95,14.99,overcast clouds
176,Kutum,SD,14.2,24.6667,70.75,29,41,11.54,scattered clouds
177,Upernavik,GL,72.7868,-56.1549,20.66,89,100,15.41,light snow
178,Alta Floresta,BR,-9.8756,-56.0861,72.63,87,23,3.83,few clouds
179,Anadyr,RU,64.75,177.4833,-3.5,83,40,8.95,scattered clouds
180,Hay River,CA,60.8156,-115.7999,40.98,87,75,9.22,light rain
181,Muzhi,RU,65.3667,64.6667,27.36,78,9,15.19,clear sky
182,East London,ZA,-33.0153,27.9116,59.0,65,30,13.78,scattered clouds
183,Dinard,FR,48.6314,-2.0614,52.68,72,0,9.22,clear sky
184,Ballina,AU,-28.8667,153.5667,87.84,34,87,13.8,overcast clouds
185,Praia,CV,14.9215,-23.5087,77.54,78,20,16.11,few clouds
186,Burns Lake,CA,54.2331,-125.7533,26.02,91,4,0.67,clear sky
187,Pangnirtung,CA,66.1451,-65.7125,22.8,85,99,5.95,overcast clouds
188,Krasnoselkup,RU,65.7,82.4667,32.76,98,100,14.99,light snow
189,Luwuk,ID,-0.9516,122.7875,87.84,56,47,3.96,scattered clouds
190,Stroby Egede,DK,55.4138,12.245,48.92,79,99,9.66,overcast clouds
191,Cabo San Lucas,MX,22.8909,-109.9124,80.51,72,5,11.3,clear sky
192,Gorin,RU,51.1983,136.6669,49.03,56,0,4.63,clear sky
193,Kaitangata,NZ,-46.2817,169.8464,57.47,74,84,5.7,light rain
194,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,90,4.61,overcast clouds
195,Port Moresby,PG,-9.4431,147.1797,89.02,66,40,17.27,haze
196,Maceio,BR,-9.6658,-35.7353,80.04,94,75,5.75,broken clouds
197,Alcantara,BR,-2.4089,-44.4147,80.8,89,34,7.07,scattered clouds
198,Lasa,IT,46.6166,10.7002,47.66,44,1,1.14,clear sky
199,Azul,AR,-36.777,-59.8585,40.05,87,0,3.0,clear sky
200,Kailua,US,21.4022,-157.7394,82.38,69,1,8.05,clear sky
201,Owando,CG,-0.4819,15.8999,69.19,99,51,2.66,broken clouds
202,Bar Harbor,US,44.3876,-68.2039,45.61,72,1,11.01,clear sky
203,Talnakh,RU,69.4865,88.3972,23.0,90,100,5.3,overcast clouds
204,Grand-Santi,GF,4.25,-54.3833,73.4,98,100,2.17,overcast clouds
205,Vestmannaeyjar,IS,63.4427,-20.2734,47.43,81,100,16.06,overcast clouds
206,Kanigoro,ID,-8.13,112.219,90.81,47,97,9.33,overcast clouds
207,Kahului,US,20.8947,-156.47,80.62,73,1,25.32,clear sky
208,Mwene-Ditu,CD,-7.0,23.45,67.19,84,45,4.03,scattered clouds
209,Baijiantan,CN,45.6333,85.1833,45.86,29,5,1.45,clear sky
210,Mozarlandia,BR,-14.7447,-50.5706,79.79,61,100,7.23,overcast clouds
211,Naze,JP,28.3667,129.4833,72.52,65,99,19.46,overcast clouds
212,Abu Kamal,SY,34.4506,40.9171,66.9,36,1,5.61,clear sky
213,Deputatskiy,RU,69.3,139.9,-0.15,97,100,2.95,overcast clouds
214,Leningradskiy,RU,69.3833,178.4167,10.02,95,100,8.32,overcast clouds
215,Belyy Yar,RU,53.6039,91.3903,49.89,46,0,20.13,clear sky
216,Oussouye,SN,12.485,-16.5469,78.89,83,94,1.43,overcast clouds
217,Butaritari,KI,3.0707,172.7902,81.28,71,40,6.02,scattered clouds
218,Vao,NC,-22.6667,167.4833,72.46,74,4,14.34,clear sky
219,Margate,GB,51.3813,1.3862,54.91,77,24,5.01,few clouds
220,Ola,RU,59.5833,151.2833,28.49,58,99,10.09,overcast clouds
221,Mehamn,NO,71.0357,27.8492,35.22,64,90,16.67,light snow
222,Boa Vista,BR,2.8197,-60.6733,82.38,74,20,3.44,few clouds
223,Rock Sound,BS,24.9,-76.2,80.83,76,71,8.66,broken clouds
224,Birao,CF,10.2849,22.7882,72.93,76,86,2.62,overcast clouds
225,Chiredzi,ZW,-21.05,31.6667,82.96,35,3,4.76,clear sky
226,Verkhniy Landekh,RU,56.8389,42.5994,37.47,90,100,8.7,light rain
227,Tulun,RU,54.5611,100.5792,41.11,62,99,5.41,overcast clouds
228,Lomovka,RU,53.9194,58.3672,43.72,89,99,8.28,overcast clouds
229,Puerto Maldonado,PE,-12.6,-69.1833,83.79,60,96,5.35,overcast clouds
230,Kariba,ZW,-16.5167,28.8,79.11,39,43,1.61,scattered clouds
231,Caldas Novas,BR,-17.7417,-48.625,73.58,65,5,5.26,clear sky
232,Ilhabela,BR,-23.7781,-45.3581,73.42,73,92,4.9,overcast clouds
233,Norman Wells,CA,65.282,-126.8329,28.44,86,20,2.3,few clouds
234,Yulara,AU,-25.2406,130.9889,80.44,18,27,17.27,scattered clouds
235,Lusambo,CD,-4.9667,23.45,68.72,96,100,2.37,overcast clouds
236,Tomatlan,MX,19.9333,-105.25,75.72,96,97,2.57,overcast clouds
237,Komsomolskiy,UZ,40.4272,71.7189,48.92,46,0,4.61,clear sky
238,Provideniya,RU,64.3833,-173.3,23.47,79,100,8.72,overcast clouds
239,Pionerskiy,RU,54.9508,20.2275,40.84,63,89,10.36,overcast clouds
240,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.19,94,79,0.4,broken clouds
241,Sakakah,SA,29.9697,40.2064,62.17,37,0,3.96,clear sky
242,Carnarvon,AU,-24.8667,113.6333,77.07,61,0,16.11,clear sky
243,Ahipara,NZ,-35.1667,173.1667,64.42,79,18,6.98,few clouds
244,Uige,AO,-7.6087,15.0613,68.36,97,98,1.16,overcast clouds
245,Kasulu,TZ,-4.5767,30.1025,67.1,73,84,0.89,broken clouds
246,Nuuk,GL,64.1835,-51.7216,27.81,38,98,7.23,overcast clouds
