City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Port Lavaca,US,77.05,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
430,Arlit,NE,81.41,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
432,Mabaruma,GY,73.71,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
434,Temple,US,73.58,scattered clouds,31.0982,-97.3428,La Quinta Inn by Wyndham Temple
436,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
440,Vangaindrano,MG,74.35,few clouds,-23.35,47.6,Hotel Fanilo
444,Santa Rosa,PH,79.86,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
446,Bauchi,NG,74.46,overcast clouds,10.5,10.0,
447,Biltine,TD,80.83,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
449,Obidos,BR,76.39,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
453,Awbari,LY,76.78,few clouds,26.5921,12.7805,فندق أوباري
457,Mitsamiouli,KM,77.29,few clouds,-11.3847,43.2844,Foyer ADM
458,Nan,TH,77.02,few clouds,18.8333,100.6667,สะเนียน2
464,Sibu,MY,86.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
469,Van Buren,US,74.41,scattered clouds,35.4368,-94.3483,Hampton Inn Van Buren
471,Jati,PK,82.38,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
472,Sabang,ID,81.72,overcast clouds,5.8933,95.3214,Hotel Citra
474,Port-Gentil,GA,77.61,overcast clouds,-0.7193,8.7815,Fengshui Residence
475,Ramanuj Ganj,IN,77.49,clear sky,23.8,83.7,HOTEL SAI SIDDHI
476,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
477,Moerai,PF,71.02,overcast clouds,-22.4333,-151.3333,Le Manotel
478,Bilma,NE,78.78,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
480,Campo Maior,BR,77.25,broken clouds,-4.8278,-42.1686,Elite Hotel
482,Villa Union,MX,84.02,clear sky,23.2,-106.2333,My Fantasy Auto-Hotel
485,Ouesso,CG,70.7,overcast clouds,1.6136,16.0517,ABENIE Hotel
487,Vila Do Maio,CV,77.79,clear sky,15.1333,-23.2167,Hotel Marilu
489,Capinota,BO,71.01,few clouds,-17.7167,-66.2333,Urbanización Villa Real
490,Makaha,US,79.95,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
491,Waddan,LY,77.61,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
492,Porto Seguro,BR,75.72,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
495,Sinnamary,GF,78.44,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
496,Tucupita,VE,73.26,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
497,Payakumbuh,ID,80.31,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
